user_id,attempt_id,started_at,status,no_of_questions,question_attempted
2610,52045259,None,COMPLETE,20,20
95712,52045271,None,COMPLETE,10,10
95712,52045337,None,CREATE,10,0
43158,52045566,2021-06-18 04:20:59.190172+00:00,COMPLETE,10,10
43158,52045656,None,CREATE,10,0
79799,52046479,None,COMPLETE,15,12
96887,52047429,None,CREATE,10,0
79799,52047745,None,CREATE,15,0
98718,52048029,2021-06-18 05:37:16.617111+00:00,PROGRESS,10,10
96887,52048109,None,COMPLETE,10,10
96887,52048390,None,CREATE,10,0
26580,52048930,2021-06-18 05:10:22.834749+00:00,COMPLETE,5,5
26580,52049069,2021-06-18 05:12:33.031422+00:00,COMPLETE,5,5
26580,52049099,None,CREATE,5,0
34271,52049813,None,COMPLETE,15,15
34271,52050074,2021-07-26 08:58:43.883452+00:00,COMPLETE,15,15
105297,52050366,2021-06-19 16:18:30.120253+00:00,COMPLETE,10,8
88653,52051509,None,COMPLETE,20,20
34271,52052473,None,COMPLETE,15,15
34271,52052674,2021-07-26 09:08:56.899392+00:00,COMPLETE,15,15
34271,52052702,None,COMPLETE,15,15
34271,52052984,2021-07-26 09:18:08.253629+00:00,COMPLETE,15,15
108778,52053235,None,CREATE,10,0
26580,52053406,None,CREATE,5,0
26580,52053483,2021-06-18 06:08:29.571561+00:00,COMPLETE,75,75
38599,52054259,None,COMPLETE,20,20
1831,52054827,None,COMPLETE,10,10
79799,52054957,None,COMPLETE,5,5
26580,52054977,None,CREATE,75,0
79799,52055272,None,CREATE,5,0
79799,52055290,None,COMPLETE,10,0
1831,52055735,None,COMPLETE,10,10
79799,52055811,None,COMPLETE,10,0
1831,52055950,None,CREATE,10,0
1831,52055961,None,COMPLETE,10,10
1831,52056194,None,CREATE,10,0
1831,52056216,2021-06-18 06:36:29.855673+00:00,COMPLETE,10,10
1831,52056426,None,CREATE,10,0
31373,52056752,2021-06-18 06:43:23.470549+00:00,COMPLETE,30,19
34271,52056973,2021-06-18 06:42:31.387645+00:00,COMPLETE,15,15
38599,52057114,None,CREATE,20,0
34271,52057263,2021-07-26 09:14:38.714674+00:00,COMPLETE,15,15
104394,52058492,2021-06-18 06:56:06.459210+00:00,COMPLETE,10,10
11736,52059356,2021-06-18 07:04:00.049138+00:00,PAUSE,15,15
88653,52059862,2021-06-18 07:09:26.713239+00:00,COMPLETE,20,20
31373,52060445,None,CREATE,30,0
104394,52060868,2021-06-18 07:18:45.507141+00:00,COMPLETE,10,10
34271,52061855,2021-06-18 07:30:23.928180+00:00,COMPLETE,15,6
34271,52061955,2021-06-25 06:18:35.357316+00:00,COMPLETE,15,11
104394,52062184,2021-06-18 07:35:33.362241+00:00,COMPLETE,10,10
79799,52062303,None,CREATE,10,0
104394,52062499,2021-06-18 07:39:17.359889+00:00,COMPLETE,10,10
104394,52062696,2021-06-18 07:41:42.650685+00:00,COMPLETE,10,10
104394,52062809,2021-06-18 07:43:13.929742+00:00,COMPLETE,10,10
108923,52062904,2021-06-18 07:44:58.813812+00:00,COMPLETE,100,7
