user_id,track_slug,subscription_date
176077,ssc,2021-07-15
176107,kerala-psc,2021-06-29
176107,CDP_SKSSF,2021-06-29
176171,KPSC_Driver,2021-06-29
176171,CDP_SKSSF,2021-06-29
176293,Spoken_eng_hindi,2021-06-29
176576,Eng_Inver_Coc,2021-06-29
176623,kerala-psc,2021-06-29
176623,CDP_SKSSF,2021-06-30
176848,kerala-psc,2021-07-01
176848,CDP_SKSSF,2021-06-30
176926,spoken-english,2021-06-30
177351,Spoken_eng_hindi,2021-06-30
177795,Spoken_eng_hindi,2021-06-30
178088,kerala-psc,2021-06-30
178088,KPSC_Driver,2021-06-30
178176,spoken-english,2021-06-30
178208,kerala-psc,2021-06-30
178241,Spoken_eng_hindi,2021-06-30
178629,spoken-english,2021-06-30
179089,spoken-english,2021-07-01
179089,Anb_eng,2021-07-01
179987,spoken-english,2021-07-19
179987,kerala-psc,2021-07-01
179987,Digi_Mark,2021-07-06
179987,ssc,2021-07-06
180229,spoken-english,2021-07-01
180992,kerala-psc,2021-07-01
