user_uid,date_joined,date_of_first_purhcase
371627,2021-07-26,
373114,2021-07-27,
373413,2021-07-27,
373542,2021-07-27,
374291,2021-07-27,
375461,2021-07-27,2021-07-27
375853,2021-07-27,2021-08-01
375865,2021-07-27,
375959,2021-07-27,
376096,2021-07-27,2021-07-28
376346,2021-07-27,
376430,2021-07-27,2021-07-26
377008,2021-07-27,2021-07-27
377339,2021-07-27,2021-07-27
378073,2021-07-27,2021-07-27
378188,2021-07-28,2021-07-31
378432,2021-07-28,2021-07-27
378675,2021-07-28,
379329,2021-07-28,
379523,2021-07-28,
379766,2021-07-28,2021-07-27
379903,2021-07-28,2021-07-27
380498,2021-07-28,
380655,2021-07-28,
381425,2021-07-28,2021-07-31
381478,2021-07-28,2021-07-29
381538,2021-07-28,2021-07-31
381811,2021-07-28,
382049,2021-07-28,2021-07-30
382792,2021-07-28,2021-07-27
382931,2021-07-28,2021-07-28
383058,2021-07-28,2021-07-29
383858,2021-07-29,
384117,2021-07-29,
384738,2021-07-29,2021-07-31
384876,2021-07-29,2021-07-29
385786,2021-07-29,2021-07-29
386028,2021-07-29,
387209,2021-07-29,2021-08-03
387286,2021-07-29,2021-07-29
388551,2021-07-29,
388642,2021-07-29,2021-07-29
388674,2021-07-29,2021-07-29
390115,2021-07-30,2021-07-29
390502,2021-07-30,2021-07-30
390708,2021-07-30,2021-07-30
391477,2021-07-30,2021-08-01
392313,2021-07-30,
